country,jan,feb,mar,apr,may
Germany,1602,1602,1609,1533,1558
Brazil,1483,1484,1489,1384,1431
Portugal,1358,1358,1360,1306,1274
Argentina,1348,1348,1359,1254,1241
Belgium,1325,1325,1337,1346,1298
Spain,1231,1231,1228,1162,1126
Poland,1209,1213,1228,1118,1183
Switzerland,1190,1190,1197,1179,1199
France,1183,1183,1185,1166,1198
Peru,1128,1128,1128,1106,1125
Denmark,1099,1099,1108,1054,1051
Colombia,1078,1095,1106,989,986
Croatia,1048,1048,1053,975,945
England,1047,1047,1047,1040,1051
Mexico,1032,1034,1038,1008,989
Sweden,1000,996,1002,889,880
Iceland,959,1017,1026,930,908
Uruguay,924,924,931,976,1018
Tunisia,915,914,920,1012,910
Senegal,875,855,862,825,838
Costa Rica,831,868,872,858,884
Egypt,814,683,687,636,649
Iran,797,790,792,727,708
Australia,763,737,740,700,718
Serbia,756,784,780,732,751
Morocco,748,692,694,681,686
Nigeria,651,606,609,635,618
Panama,636,604,605,575,571
South Korea,569,556,554,520,544
Japan,598,593,593,528,521
Saudi Arabia,522,522,494,445,465